,id,sentiment,negative_reason,user,retweet_count,text
0,5.70301e+17,positive,,jnardino,0,@virginamerica commercials experience... tacky.
1,5.70301e+17,negative,Bad Flight,jnardino,0,"@virginamerica it's aggressive blast obnoxious ""entertainment"" guests' faces & recourse"
2,5.70301e+17,negative,Can't Tell,jnardino,0,@virginamerica it's big bad thing
3,5.70301e+17,negative,Can't Tell,jnardino,0,"@virginamerica seriously pay $30 flight seats playing.
it's bad thing flying va"
4,5.70301e+17,positive,,cjmcginnis,0,"@virginamerica yes, time fly vx ear worm :)"
5,5.703e+17,positive,,dhepburn,0,"@virginamerica well, didn'tbut do! :-d"
6,5.70295e+17,positive,,YupitsTate,0,"@virginamerica amazing, arrived hour early. you're good me."
7,5.7029e+17,positive,,HyperCamiLax,0,@virginamerica <3 pretty graphics. better minimal iconography. :d
8,5.7029e+17,positive,,HyperCamiLax,0,@virginamerica great deal! thinking 2nd trip @australia & 1st trip yet! ;p
9,5.70287e+17,positive,,mollanderson,0,@virginamerica @virginmedia i'm flying #fabulous #seductive skies again! #stress travel 
10,5.70286e+17,positive,,sjespers,0,@virginamerica thanks!
11,5.70282e+17,negative,Late Flight,smartwatermelon,0,@virginamerica sfo-pdx schedule mia.
12,5.70278e+17,positive,,ItzBrianHunty,0,@virginamerica excited cross country flight lax mco heard great things virgin america. #29daystogo
13,5.70277e+17,negative,Bad Flight,heatherovieda,0,@virginamerica  flew nyc sfo week couldn't fully sit seat large gentleman side me. help!
14,5.70271e+17,positive,,thebrandiray,0, flying @virginamerica. 
15,5.70268e+17,positive,,JNLpierce,0,@virginamerica amazingly awesome? bos-fll please!!!!!!! fly you.
16,5.70266e+17,negative,Can't Tell,MISSGJ,0,@virginamerica fares three times carriers seats select???
17,5.70264e+17,positive,,DT_Les,0,@virginamerica love graphic. 
18,5.70259e+17,positive,,ElvinaBeck,0,@virginamerica love hipster innovation. feel good brand.
19,5.70257e+17,negative,Customer Service Issue,ayeevickiee,0,@virginamerica guys messed seating.. reserved seating friends guys seat ...  free internet
20,5.70249e+17,negative,Customer Service Issue,Leora13,0,@virginamerica status match program.  applied it's three weeks.  called emailed response.
21,5.7024e+17,negative,Can't Tell,meredithjlynn,0,@virginamerica happened 2 ur vegan food options?! ur site won't 2 eat 6 hrs #fail
22,5.70208e+17,negative,Bad Flight,blackjackpro911,0,@virginamerica amazing cold air vents. #vx358 #noair #worstflightever #roasted #sfotobos
23,5.70114e+17,negative,Flight Booking Problems,jordanpichler,0,"@virginamerica hi! bked cool birthday trip you, add elevate no. entered middle flight booking problems "
24,5.70088e+17,negative,Customer Service Issue,Cuschoolie1,0,"@virginamerica help, left expensive headphones flight 89 iad lax today. seat 2a. answering l&f number lax!"
25,5.70085e+17,negative,Customer Service Issue,amanduhmccarty,0,"@virginamerica awaiting return phone call, prefer online self-service option :("
26,5.70077e+17,positive,,NorthTxHomeTeam,0,@virginamerica great news!  america start flights hawaii year  @pacificbiznews
27,5.70051e+17,positive,,Nicsplace,0,@virginamerica moodlighting fly! best experience ever! cool calming.  #moodlitmonday
28,5.70045e+17,positive,,Nicsplace,0,"@virginamerica @freddieawards done! best airline around, hands down!"
29,5.70036e+17,negative,Customer Service Issue,DannyDouglass,0,@virginamerica chat support working site: 
30,5.70034e+17,positive,,jamesferrandini,0,"@virginamerica view downtown los angeles, hollywood sign, rain mountains! "
31,5.70025e+17,negative,Flight Booking Problems,will_lenzenjr,0,"@virginamerica hey, time flyer week - excited! i'm hard time flights elevate account. help?"
32,5.70012e+17,positive,,arieldaie,0,@virginamerica i'm #elevategold good reason: rock!!
33,5.70011e+17,positive,,ChelseaPoe666,0,@virginamerica wow blew mind
34,5.70007e+17,positive,,joyabsalon,0,@virginamerica @ladygaga @carrieunderwood julie andrews @ladygaga impressive! @carrieunderwood
35,5.69996e+17,negative,Flight Booking Problems,murphicus,0,@virginamerica hi! i'm excited $99 lga->dal deal- 2 book week & loads. thx!
